robot_id,proximity,bumper,light_left,light_right,boundary,transporting,home_zone,error
4,False,False,0.0034454768813129474,0.0034454768813129474,False,False,False,False
4,False,False,0.0034221323479372316,0.0034221323479372316,False,False,False,False
4,False,False,0.003399098868066886,0.003399098868066886,False,False,False,False
4,False,False,0.0033763703292124564,0.0033763703292124564,False,False,False,False
4,False,False,0.00335394077630597,0.00335394077630597,False,False,False,False
4,False,False,0.0033318044067219732,0.0033318044067219732,False,False,False,False
4,False,False,0.0033099555654840886,0.0033099555654840886,False,False,False,False
4,False,False,0.0032883887406491966,0.0032883887406491966,False,False,False,False
4,False,False,0.0032670985588616865,0.0032670985588616865,False,False,False,False
4,False,False,0.0032460797810706316,0.0032460797810706316,False,False,False,False
4,False,False,0.0032253272984030224,0.0032253272984030224,False,False,False,False
4,False,False,0.003204836128186565,0.003204836128186565,False,False,False,False
4,False,False,0.0031846014101158237,0.0031846014101158237,False,False,False,False
4,False,False,0.0031646184025557952,0.0031646184025557952,False,False,False,False
4,False,False,0.003144882478977258,0.003144882478977258,False,False,False,False
4,False,False,0.0031253891245185167,0.0031253891245185167,False,False,False,False
4,False,False,0.0031061339326684057,0.0031061339326684057,False,False,False,False
4,False,False,0.0030871126020656373,0.0030871126020656373,False,False,False,False
4,False,False,0.003068320933409821,0.003068320933409821,False,False,False,False
4,False,False,0.0030497548264796777,0.0030497548264796777,False,False,False,False
4,False,False,0.0030314102772541814,0.0030314102772541814,False,False,False,False
4,False,False,0.0030132833751325538,0.0030132833751325538,False,False,False,False
4,False,False,0.0029968249390249792,0.0029968249390249792,False,False,False,False
4,False,False,0.0029805273061237433,0.0029805273061237433,False,False,False,False
4,False,False,0.0029643884509503115,0.0029643884509503115,False,False,False,False
4,False,False,0.0029484063738349454,0.0029484063738349454,False,False,False,False
4,False,False,0.002932579100791572,0.002932579100791572,False,False,False,False
4,False,False,0.0029169046833779112,0.0029169046833779112,False,False,False,False
4,False,False,0.002901381198542028,0.002901381198542028,False,False,False,False
4,False,False,0.002886006748456426,0.002886006748456426,False,False,False,False
4,False,False,0.0028707794603407095,0.0028707794603407095,False,False,False,False
4,False,False,0.00285569748627379,0.00285569748627379,False,False,False,False
4,False,False,0.002840759002996572,0.002840759002996572,False,False,False,False
4,False,False,0.0028259622117059583,0.0028259622117059583,False,False,False,False
4,False,False,0.002811305337840998,0.002811305337840998,False,False,False,False
4,False,False,0.002796786630861942,0.002796786630861942,False,False,False,False
4,False,False,0.002782404364022915,0.002782404364022915,False,False,False,False
4,False,False,0.002768156834138864,0.002768156834138864,False,False,False,False
4,False,False,0.0027531985630746742,0.0027531985630746742,False,False,False,False
4,False,False,0.0027383980391388935,0.0027383980391388935,False,False,False,False
4,False,False,0.002723752829434162,0.002723752829434162,False,False,False,False
4,False,False,0.002709260549763416,0.002709260549763416,False,False,False,False
4,False,False,0.00269491886344674,0.00269491886344674,False,False,False,False
4,False,False,0.0026807254801715615,0.0026807254801715615,False,False,False,False
4,False,False,0.0026666781548751583,0.0026666781548751583,False,False,False,False
4,False,False,0.0026527746866584407,0.0026527746866584407,False,False,False,False
4,False,False,0.0026390129177300387,0.0026390129177300387,False,False,False,False
4,False,False,0.002625390732379741,0.002625390732379741,False,False,False,False
4,False,False,0.002611906055980362,0.002611906055980362,False,False,False,False
4,False,False,0.002598556854017163,0.002598556854017163,False,False,False,False
4,False,False,0.0025853411311439686,0.0025853411311439686,False,False,False,False
4,False,False,0.0025722569302651377,0.0025722569302651377,False,False,False,False
4,False,False,0.002559302331642618,0.002559302331642618,False,False,False,False
4,False,False,0.0025464754520272827,0.0025464754520272827,False,False,False,False
4,False,False,0.0025337744438138263,0.0025337744438138263,False,False,False,False
4,False,False,0.00252119749421849,0.00252119749421849,False,False,False,False
4,False,False,0.0025087428244789144,0.0025087428244789144,False,False,False,False
4,False,False,0.0024964086890754615,0.0024964086890754615,False,False,False,False
4,False,False,0.0024841933749733427,0.0024841933749733427,False,False,False,False
4,False,False,0.0024720952008849295,0.0024720952008849295,False,False,False,False
4,False,False,0.0024601125165516356,0.0024601125165516356,False,False,False,False
4,False,False,0.0024482437020447918,0.0024482437020447918,False,False,False,False
4,False,False,0.0024364871670849294,0.0024364871670849294,False,False,False,False
4,False,False,0.0024248413503789386,0.0024248413503789386,False,False,False,False
4,False,False,0.002413304718974562,0.002413304718974562,False,False,False,False
4,False,False,0.00240187576763171,0.00240187576763171,False,False,False,False
4,False,False,0.0023905530182101007,0.0023905530182101007,False,False,False,False
4,False,False,0.0023793350190727514,0.0023793350190727514,False,False,False,False
4,False,False,0.0023682203445048377,0.0023682203445048377,False,False,False,False
4,False,False,0.002357207594147493,0.002357207594147493,False,False,False,False
4,False,False,0.0023462953924460973,0.0023462953924460973,False,False,False,False
4,False,False,0.002335482388112634,0.002335482388112634,False,False,False,False
4,False,False,0.002324767253601722,0.002324767253601722,False,False,False,False
4,False,False,0.0023141486845999052,0.0023141486845999052,False,False,False,False
4,False,False,0.0023036253995278376,0.0023036253995278376,False,False,False,False
4,False,False,0.002293196139054984,0.002293196139054984,False,False,False,False
4,False,False,0.0022828596656264753,0.0022828596656264753,False,False,False,False
4,False,False,0.0022726147630017846,0.0022726147630017846,False,False,False,False
4,False,False,0.0022624602358048743,0.0022624602358048743,False,False,False,False
4,False,False,0.002252394909085495,0.002252394909085495,False,False,False,False
4,False,False,0.0022424176278913236,0.0022424176278913236,False,False,False,False
4,False,False,0.00223252725685063,0.00223252725685063,False,False,False,False
4,False,False,0.0022227226797651837,0.0022227226797651837,False,False,False,False
4,False,False,0.0022130027992131067,0.0022130027992131067,False,False,False,False
4,False,False,0.0022033665361613983,0.0022033665361613983,False,False,False,False
4,False,False,0.0021938128295878705,0.0021938128295878705,False,False,False,False
4,False,False,0.002184340636112216,0.002184340636112216,False,False,False,False
4,False,False,0.002174948929635977,0.002174948929635977,False,False,False,False
4,False,False,0.0021656367009911534,0.0021656367009911534,False,False,False,False
4,False,False,0.0021564029575972237,0.0021564029575972237,False,False,False,False
4,False,False,0.002147246723126347,0.002147246723126347,False,False,False,False
4,False,False,0.002138167037176513,0.002138167037176513,False,False,False,False
4,False,False,0.0021291629549524457,0.0021291629549524457,False,False,False,False
4,False,False,0.002120233546954025,0.002120233546954025,False,False,False,False
4,False,False,0.0021113778986720446,0.0021113778986720446,False,False,False,False
4,False,False,0.002102518099975942,0.002102518099975942,False,False,False,False
4,False,False,0.00209373219167123,0.00209373219167123,False,False,False,False
4,False,False,0.0020851196522428755,0.0020851196522428755,False,False,False,False
4,False,False,0.0020765767073992283,0.0020765767073992283,False,False,False,False
4,False,False,0.0020681025289542338,0.0020681025289542338,False,False,False,False
4,False,False,0.002059696301613104,0.002059696301613104,False,False,False,False
4,False,False,0.002051357222726554,0.002051357222726554,False,False,False,False
4,False,False,0.0020430845020505367,0.0020430845020505367,False,False,False,False
4,False,False,0.00203487736151134,0.00203487736151134,False,False,False,False
4,False,False,0.002026735034975901,0.002026735034975901,False,False,False,False
4,False,False,0.0020186567680272167,0.0020186567680272167,False,False,False,False
4,False,False,0.0020106418177447106,0.0020106418177447106,False,False,False,False
4,False,False,0.002002689452489445,0.002002689452489445,False,False,False,False
4,False,False,0.0019947989516940377,0.0019947989516940377,False,False,False,False
4,False,False,0.0019869696056571875,0.0019869696056571875,False,False,False,False
4,False,False,0.001979200715342676,0.001979200715342676,False,False,False,False
4,False,False,0.0019714915921827418,0.0019714915921827418,False,False,False,False
4,False,False,0.001963841557885721,0.001963841557885721,False,False,False,False
4,False,False,0.001956249944247841,0.001956249944247841,False,False,False,False
4,False,False,0.0019487160929690728,0.0019487160929690728,False,False,False,False
4,False,False,0.0019412393554729369,0.0019412393554729369,False,False,False,False
4,False,False,0.0019338190927301667,0.0019338190927301667,False,False,False,False
4,False,False,0.001926454675086139,0.001926454675086139,False,False,False,False
4,False,False,0.001919145482091974,0.001919145482091974,False,False,False,False
4,False,False,0.0019118909023392201,0.0019118909023392201,False,False,False,False
4,False,False,0.0019046903332980306,0.0019046903332980306,False,False,False,False
4,False,False,0.001897489959568804,0.001897489959568804,False,False,False,False
4,False,False,0.001890343612024896,0.001890343612024896,False,False,False,False
4,False,False,0.0018832506872239055,0.0018832506872239055,False,False,False,False
4,False,False,0.0018762105906418812,0.0018762105906418812,False,False,False,False
4,False,False,0.001869222736509819,0.001869222736509819,False,False,False,False
4,False,False,0.0018622865476537332,0.0018622865476537332,False,False,False,False
4,False,False,0.001855401455338203,0.001855401455338203,False,False,False,False
4,False,False,0.001848566899113314,0.001848566899113314,False,False,False,False
4,False,False,0.0018417823266649014,0.0018417823266649014,False,False,False,False
4,False,False,0.0018350471936680222,0.0018350471936680222,False,False,False,False
4,False,False,0.0018283609636435643,0.0018283609636435643,False,False,False,False
4,False,False,0.001821723107817927,0.001821723107817927,False,False,False,False
4,False,False,0.0018151331049856868,0.0018151331049856868,False,False,False,False
4,False,False,0.001808590441375179,0.001808590441375179,False,False,False,False
